province,year,emission_per_gdp,clean_ratio,green_rate
江西,2022,0.005907640397727764,0.635850648412141,0.466
河北,2020,0.019631994508310435,0.427828724282293,0.429
河北,2021,0.015291928914772651,0.492007830389888,0.429
河北,2022,0.014359915104858024,0.499138018901254,0.4379999999999999
河南,2020,0.0072705376034785585,0.668203360982793,0.419
河南,2021,0.006566571700071257,0.6981604369887551,0.416
河南,2022,0.006380620755735248,0.711669809053054,0.4029999999999999
浙江,2020,0.005379286886399538,0.886468773321979,0.422
浙江,2021,0.004748970109285303,0.884606920521214,0.415
浙江,2022,0.004444297694684837,0.9519547466230154,0.421
海南,2020,0.0008038235629243426,0.9097861586385304,0.406
海南,2021,0.0007198261894100538,0.9695307504997268,0.408
海南,2022,0.0006403117076239341,0.9207304756746644,0.424
湖北,2020,0.0052725213945235185,0.6310419161355441,0.411
湖北,2021,0.004651770747547859,0.647521988441056,0.428
湖北,2022,0.00453964415278818,0.621807888217238,0.429
湖南,2020,0.004020642152541005,0.552632935033028,0.415
湖南,2021,0.002563859143246135,0.652185714699594,0.422
湖南,2022,0.0023301545470968857,0.661215773601525,0.423
甘肃,2020,0.0075757722240408255,0.68570408675854,0.363
甘肃,2021,0.006613658452323552,0.697779722059807,0.363
甘肃,2022,0.0057054132925489715,0.707105497055481,0.362
福建,2020,0.003388473886533143,0.7413072129754781,0.446
福建,2021,0.0029885113158554513,0.764074026686708,0.4429999999999999
福建,2022,0.0030117624200630406,0.77141339660733,0.441
贵州,2020,0.004719614072862335,0.555403255117507,0.409
贵州,2021,0.002761602350158608,0.625274026299975,0.418
贵州,2022,0.0012204970293231857,0.661345357184806,0.421
辽宁,2020,0.01181248766923623,0.6559897509370529,0.417
辽宁,2021,0.009933162154550508,0.672422875144252,0.418
辽宁,2022,0.009296370454875877,0.675031353027228,0.409
重庆,2020,0.004592834422458608,0.704341065866595,0.431
重庆,2021,0.00387155321414836,0.751251788960841,0.426
重庆,2022,0.003664478811136064,0.75907408386468,0.446
陕西,2020,0.017355508492744382,0.5981128124712249,0.408
陕西,2021,0.016694147627397782,0.610843958485116,0.418
陕西,2022,0.0174641441596803,0.621203286723813,0.426
青海,2020,0.006830262150130609,0.767858461193329,0.359
青海,2021,0.007089510084219382,0.760315248966042,0.348
青海,2022,0.0064942833056682876,0.769389139945035,0.365
