province,year,energy_index,eco_index,efficiency_index
陕西,2017,-0.41991676902921315,-0.32829548770567685,-1.8086560533485216
陕西,2018,-0.44493388854512805,-0.6294501775824182,-2.524517904367994
陕西,2019,-0.41822236638689475,-0.7328797367054827,-2.979148016869279
青海,2008,0.5299255672631064,-1.8939751024424492,0.14082344048113085
青海,2009,0.479051287520688,-1.6782823293944666,0.32218470273875927
青海,2010,0.8934222329226899,-1.8485764974120462,0.5352584707559628
青海,2011,0.9833089533762773,-1.7952454222479242,0.2767685677894144
青海,2012,0.8552887862313454,-1.6840940411911554,0.0368394356004405
青海,2013,0.7032026126375925,-2.0277367395514045,0.025979961193708823
青海,2014,0.6756211850339622,-1.9954578990572733,0.11805755800423612
青海,2015,0.4618084488582552,-2.429506663853575,0.3284243015401301
黑龙,2005,,,
黑龙,2006,,,
黑龙,2007,,,
黑龙,2008,,,
黑龙,2009,,,
黑龙,2010,,,
黑龙,2011,,,
黑龙,2012,,,
黑龙,2013,,,
黑龙,2014,,,
黑龙,2015,,,
黑龙,2016,,,
黑龙,2017,,,
黑龙,2018,,,
黑龙,2019,,,
上海,2020,1.3283394900548922,-1.526584579286337,0.5516766532209442
上海,2021,1.243024656305104,-1.4795395601319317,0.4788986729542917
上海,2022,1.1496058763109334,-1.519447228694142,0.3953335149317341
云南,2020,-1.0783795900431405,-0.4082075981241829,0.9449422131343459
云南,2021,-1.0802622830756692,0.14931133175643407,0.9065995762645119
